organismo,nombre_cargo,orden,duracion_meses,cargo_obligatorio,nivel,activo
CD,Presidente/a,1,12,true,Titular,true
CD,Vicepresidente/a,2,12,false,Titular,true
CD,Secretario/a,3,12,true,Titular,true
CD,Prosecretario/a,4,12,false,Titular,true
CD,Tesorero/a,5,12,true,Titular,true
CD,Protesorero/a,6,12,false,Titular,true
CD,Vocal Titular 1,7,12,true,Titular,true
CD,Vocal Titular 2,8,12,true,Titular,true
CD,Vocal Titular 3,9,12,true,Titular,true
CD,Vocal Suplente 1,10,12,true,Suplente,true
CD,Vocal Suplente 2,11,12,true,Suplente,true
CRC,Revisor/a Titular Docente,1,12,true,Titular,true
CRC,Revisor/a Titular Socio,2,12,true,Titular,true
CRC,Revisor/a Suplente,3,12,true,Suplente,true
CRC,Asesor/a,4,12,false,,true
Federacion,Titular,1,12,false,Titular,false
Federacion,Suplente,2,12,false,Suplente,false
